district;school;growthstatus;pctpassingeogtests;pctfreereduced;hasstringsprogram;schoolscore;grade
Franklin County Schools;Edward Best Elementary;Exceeded;69.0;70.5;0;73;B
Forsyth County Schools;Union Cross Traditional Acad;Met;50.3;50.5;0;56;C
Franklin County Schools;Louisburg Elementary;Exceeded;42.1;80.9;0;52;D
Forsyth County Schools;West Forsyth High;Exceeded;69.7;25.7;0;81;B
Forsyth County Schools;Walkertown Middle;NotMet;40.0;64.6;0;45;D
Gaston County Schools;Ashbrook High;Exceeded;48.8;59.0;0;68;C
Martin County Schools;Rodgers Elementary;Met;48.9;59.4;0;55;C
Wake County Schools;Sanderson High;Exceeded;60.3;29.4;1;76;B
Montgomery County Schools;East Middle;Met;41.0;86.6;0;49;D
Franklin County Schools;Bunn Middle;Met;47.6;64.2;0;52;D
Guilford County Schools;Monticello-Brown Summit Elem;NotMet;58.3;59.7;0;58;C
Guilford County Schools;Middle College High at Bennett;Met;57.3;73.9;0;71;B
Guilford County Schools;Middle College High @ NC A&T;Met;45.0;67.3;0;62;C
Guilford County Schools;Northern Guilford High;Exceeded;75.1;17.9;0;84;B
Iredell-Statesville Schools;Sharon Elementary;Met;66.9;51.5;0;70;B
Guilford County Schools;Rankin Elementary;Met;31.5;;0;42;D
Charlotte-Mecklenburg Schools;Briarwood Elementary;Exceeded;40.6;94.8;0;50;D
Charlotte-Mecklenburg Schools;Grand Oak Elementary;Exceeded;85.8;7.6;0;86;A
Charlotte-Mecklenburg Schools;Barnette Elementary;Exceeded;73.2;21.4;0;76;B
Gaston County Schools;Catawba Heights Elementary;Exceeded;49.7;63.4;0;57;C
Buncombe County Schools;Buncombe County Early College;Met;93.1;47.0;0;92;A
Charlotte-Mecklenburg Schools;McClintock Middle;NotMet;32.6;84.4;0;38;F
Brunswick County Schools;Southport Elementary;NotMet;56.9;55.5;0;58;C
Buncombe County Schools;Glen Arden Elementary;Met;77.2;33.3;0;78;B
Forsyth County Schools;Ward Elementary;Met;57.9;65.8;0;63;C
Buncombe County Schools;Enka High;NotMet;45.8;51.3;0;58;C
Carteret County Public Schools;Atlantic Elementary;Met;72.9;56.3;0;75;B
Iredell-Statesville Schools;Shepherd Elementary;Met;70.0;45.4;0;72;B
Cabarrus County Schools;Jay M Robinson High;NotMet;49.1;41.6;0;64;C
Burke County Schools;Jimmy C Draughn High School;Met;73.3;47.1;0;79;B
Burke County Schools;Hildebran Elementary;Exceeded;70.4;64.9;0;76;B
Cabarrus County Schools;W R Odell Elementary;Met;75.4;20.9;0;76;B
Cabarrus County Schools;Cox Mill High School;Met;68.5;19.8;0;80;B
Pitt County Schools;Creekside Elementary;NotMet;52.9;54.1;0;56;C
Henderson County Schools;Hendersonville High;Met;69.2;37.0;0;82;B
Cabarrus County Schools;Concord High;NotMet;50.1;51.6;0;61;C
Alamance-Burlington Schools;Sylvan Elementary;NotMet;60.0;62.1;0;59;C
Alamance-Burlington Schools;E M Yoder Elementary;Met;65.4;41.7;0;69;C
Alamance-Burlington Schools;Broadview Middle;NotMet;30.8;90.5;0;36;F
Alleghany County Schools;Sparta Elementary;NotMet;52.5;71.4;0;54;D
Dare County Schools;First Flight Middle School;Met;70.4;33.2;0;71;B
Anson County Schools;Wadesboro Primary;NotMet;29.5;86.5;0;35;F
Alamance-Burlington Schools;Graham High;NotMet;34.2;70.3;0;51;D
Asheboro City Schools;Balfour Elementary;Met;42.3;92.9;0;49;D
Lee County Schools;Tramway Elementary;Met;68.9;43.5;0;72;B
Nash-Rocky Mount Schools;O R Pope Elementary;Met;17.9;;0;29;F
Guilford County Schools;Nathanael Greene Elementary;NotMet;51.3;41.1;0;53;D
Buncombe County Schools;West Buncombe Elementary;Exceeded;69.1;68.2;0;73;B
Buncombe County Schools;Hominy Valley Elementary;Met;66.5;46.7;0;68;C
Buncombe County Schools;North Buncombe Middle;NotMet;62.6;49.1;0;61;C
Buncombe County Schools;Woodfin Elementary;NotMet;48.6;78.7;0;53;D
Buncombe County Schools;Johnston Elementary;Met;40.4;88.1;0;48;D
Guilford County Schools;James B Dudley High;Met;29.7;84.4;0;55;C
Cherokee County Schools;Murphy High;Exceeded;66.9;55.9;0;79;B
Burke County Schools;East Burke High;NotMet;56.2;56.1;0;64;C
Burke County Schools;Drexel Elementary;Met;52.8;65.2;0;58;C
Cumberland County Schools;Cumberland International Early CollegeHS;Met;81.1;54.3;0;82;B
Charlotte-Mecklenburg Schools;Elizabeth Traditional Elementary;Met;72.9;45.9;0;73;B
Cabarrus County Schools;R Brown McAllister Elementary;Exceeded;66.2;51.6;0;72;B
Forsyth County Schools;South Fork Elementary;Exceeded;44.3;85.8;0;53;D
Charlotte-Mecklenburg Schools;Vance High;Exceeded;41.9;78.0;0;65;C
Camden County Schools;Camden Middle;Met;62.0;33.2;0;65;C
Charter Schools;Queen's Grant Community School;Exceeded;69.2;15.2;0;75;B
Cumberland County Schools;Westarea Elementary;Exceeded;50.6;88.5;0;59;C
Johnston County Schools;Smithfield-Selma High;NotMet;39.0;67.0;0;53;D
McDowell County Schools;West McDowell Junior High;Met;57.2;58.9;0;62;C
Surry County Schools;Rockford Elementary;Exceeded;55.4;75.7;0;61;C
Durham Public Schools;Holt Elementary;Exceeded;51.5;87.8;0;59;C
Yadkin County Schools;Starmount Middle;NotMet;53.0;56.7;0;54;D
Wake County Schools;Zebulon Middle;NotMet;50.0;62.2;1;54;D
Charter Schools;Summit Charter;NotMet;67.9;20.1;0;67;C
Charter Schools;Paul R. Brown Leadership Academy;NotMet;14.4;;0;23;F
Charlotte-Mecklenburg Schools;Dilworth Elementary;Met;84.0;20.5;0;83;B
Nash-Rocky Mount Schools;Middlesex Elementary;NotMet;33.2;81.1;0;38;F
Alexander County Schools;Ellendale Elementary;NotMet;63.6;51.9;0;63;C
Anson County Schools;Peachland-Polkton Elem;Exceeded;53.3;64.5;0;60;C
Charlotte-Mecklenburg Schools;Garinger High;Exceeded;32.8;86.2;0;59;C
Wake County Schools;Lincoln Heights Elementary;Met;41.9;64.4;0;50;D
Alamance-Burlington Schools;Southern High;Met;51.9;35.9;0;66;C
Asheboro City Schools;Asheboro High;Exceeded;45.3;63.3;0;68;C
Hickory City Schools;Hickory High;NotMet;53.4;49.8;0;63;C
Catawba County Schools;Challenger Early College High;Exceeded;;47.0;0;98;A
Carteret County Public Schools;Broad Creek Middle;Exceeded;70.3;30.6;0;76;B
Charlotte-Mecklenburg Schools;Paw Creek Elementary;Exceeded;52.8;80.7;0;61;C
Lenoir County Public Schools;Contentnea-Savannah School;Met;46.8;76.8;0;54;D
Guilford County Schools;Southern Guilford High;Exceeded;50.5;66.5;0;72;B
Carteret County Public Schools;Morehead City Primary;Met;71.5;54.1;0;74;B
Catawba County Schools;Maiden Middle School;Exceeded;58.6;46.8;0;65;C
Wake County Schools;Farmington Woods Elementary;Met;73.6;26.3;0;75;B
Catawba County Schools;Mill Creek Middle;Exceeded;64.0;39.2;0;69;C
Caswell County Schools;N L Dillard Middle;Met;44.1;67.0;0;51;D
Wake County Schools;Hodge Road Elementary;Met;34.4;76.1;0;44;D
Guilford County Schools;Johnson Street Global Studies;NotMet;47.1;80.3;0;52;D
Durham Public Schools;Durham School of the Arts;Exceeded;68.9;39.4;0;78;B
Craven County Schools;Albert H Bangert Elementary;Met;59.9;58.5;0;64;C
Davidson County Schools;Wallburg Elementary;NotMet;67.3;34.8;0;68;C
Pasquotank County Schools;Northside Elementary;Met;61.1;55.4;0;65;C
Columbus County Schools;Acme Delco Middle;Met;29.9;76.9;0;40;D
Haywood County Schools;Central Elementary;Met;64.2;74.8;0;68;C
Craven County Schools;West Craven High;Met;49.0;51.9;0;67;C
Craven County Schools;New Bern High;NotMet;44.6;46.7;0;59;C
Person County Schools;North Elementary;Met;38.1;;0;47;D
Charlotte-Mecklenburg Schools;Selwyn Elementary;Exceeded;82.8;19.3;0;84;B
Brunswick County Schools;Cedar Grove Middle;Exceeded;49.7;69.8;0;57;C
Stokes County Schools;Chestnut Grove Middle;Exceeded;60.2;47.4;0;65;C
Bladen County Schools;Bladen Lakes Primary;Exceeded;43.5;70.0;0;52;D
Stokes County Schools;Southeastern Middle;Exceeded;56.1;54.9;0;62;C
Rowan-Salisbury Schools;Rowan Co Early College;Met;70.9;65.6;0;81;B
Bertie County Schools;Colerain Elementary;Met;30.1;88.8;0;38;F
Buncombe County Schools;Enka Middle;NotMet;58.4;62.9;0;58;C
Johnston County Schools;Clayton Middle;Met;57.2;42.6;0;61;C
Bertie County Schools;Bertie High;NotMet;21.4;87.8;0;46;D
Rutherford County Schools;Forest City-Dunbar Elementary School;NotMet;50.3;93.2;0;54;D
Wilson County Schools;Rock Ridge Elementary;Exceeded;78.4;49.3;0;81;B
Charter Schools;Cornerstone Charter Academy-CFA;Met;66.7;13.3;0;68;C
Charter Schools;Cabarrus Charter Academy;Exceeded;72.0;16.6;0;75;B
Guilford County Schools;Oak Ridge Elementary;Met;86.3;11.3;0;86;A
Pender County Schools;Pender High;Exceeded;43.4;71.4;0;64;C
Charter Schools;Charter Day School;Exceeded;72.1;35.6;0;75;B
Jones County Schools;Jones Middle;Exceeded;58.8;79.2;0;65;C
Charter Schools;Dillard Academy;Met;19.6;94.7;0;31;F
Charter Schools;Chatham Charter;Met;70.5;15.0;0;71;B
Chatham County Schools;Margaret B. Pollard Middle;Exceeded;70.3;28.7;0;76;B
Cherokee County Schools;Martins Creek Elementary/Mid;Met;60.8;77.6;0;64;C
Chatham County Schools;Chatham Central High;Exceeded;64.4;34.5;0;74;B
Cleveland County Schools;Bethware Elementary;NotMet;70.3;65.9;0;68;C
Wake County Schools;Jeffreys Grove Elementary;Met;66.2;31.7;0;69;C
Chatham County Schools;Pittsboro Elementary;Met;57.5;44.2;0;62;C
Charter Schools;Uwharrie Charter Academy;Met;52.9;15.2;0;57;C
Charter Schools;Washington Montessori;Met;58.4;28.0;0;62;C
Chatham County Schools;Bonlee School;Met;56.4;55.1;0;61;C
Charter Schools;Woods Charter;Exceeded;88.3;;0;89;A
Charlotte-Mecklenburg Schools;University Park Creative Arts;NotMet;46.2;82.0;0;50;D
Charlotte-Mecklenburg Schools;South Charlotte Middle;Exceeded;83.4;16.9;0;85;A
Charlotte-Mecklenburg Schools;South Mecklenburg High;Exceeded;68.1;45.7;0;80;B
Charlotte-Mecklenburg Schools;Piney Grove Elementary;NotMet;56.2;79.5;0;57;C
Charlotte-Mecklenburg Schools;Irwin Academic Center;Met;87.5;26.2;0;88;A
Charlotte-Mecklenburg Schools;McKee Road Elementary;Met;85.9;16.0;0;85;A
Robeson County Schools;Southside/Ashpole Elem;NotMet;34.0;83.5;0;41;D
Durham Public Schools;Burton Elementary;Exceeded;40.4;87.6;0;50;D
Onslow County Schools;Southwest High;Met;50.6;44.5;0;71;B
Charlotte-Mecklenburg Schools;Hidden Valley Elementary;Exceeded;40.8;;0;50;D
Randolph County Schools;Randolph Early College High;Exceeded;78.9;44.4;0;87;A
Gaston County Schools;McAdenville Elementary;Met;47.1;63.1;0;52;D
Charter Schools;Guilford Preparatory Academy;Met;42.1;80.6;0;49;D
Charter Schools;Neuse Charter School;Exceeded;69.4;12.0;0;75;B
Charter Schools;Healthy Start Academy;Met;23.5;62.5;0;35;F
Charter Schools;Greensboro Academy;NotMet;76.3;7.3;0;75;B
Cleveland County Schools;Crest Middle;Met;56.3;57.8;0;61;C
Charter Schools;Millennium Charter Academy;Exceeded;69.0;;0;72;B
Charter Schools;Longleaf School of the Arts;Met;75.7;;0;76;B
Charter Schools;Magellan Charter;Exceeded;;;0;95;A
Clinton City Schools;Butler Avenue Elementary;Exceeded;60.6;76.4;0;66;C
Guilford County Schools;Southern Guilford Middle;NotMet;43.4;76.8;0;46;D
Cleveland County Schools;Township Three Elementary;Met;55.8;80.1;0;59;C
Clinton City Schools;Sunset Avenue Elementary;NotMet;55.2;71.9;0;57;C
Jackson County Schools;Scotts Creek Elementary;Met;57.0;58.5;0;62;C
Cleveland County Schools;Fallston Elementary;Met;61.6;65.7;0;66;C
Cleveland County Schools;Shelby Middle;NotMet;52.5;70.7;0;55;C
Cleveland County Schools;Shelby High;NotMet;47.3;61.0;0;64;C
Surry County Schools;Central Middle;NotMet;57.4;69.5;0;59;C
Forsyth County Schools;Hall-Woodward Elementary;NotMet;32.8;;0;40;D
Charlotte-Mecklenburg Schools;William Amos Hough High;Exceeded;78.8;17.8;0;86;A
Charlotte-Mecklenburg Schools;Eastover Elementary;NotMet;71.8;23.6;0;69;C
Catawba County Schools;Saint Stephens Elementary;Met;41.3;84.3;0;48;D
Chapel Hill-Carrboro Schools;McDougle Elementary;Met;73.4;28.3;0;75;B
Granville County Schools;Stovall-Shaw Elementary;Met;49.3;64.5;0;55;C
Charter Schools;Research Triangle Charter;Exceeded;41.6;62.9;0;52;D
Onslow County Schools;Summersill Elementary;Met;66.5;58.5;0;70;B
Cleveland County Schools;Burns Middle;Met;52.2;66.1;0;58;C
Clinton City Schools;Clinton High;NotMet;49.5;61.3;0;62;C
Scotland County Schools;North Laurinburg Elementary;Met;49.4;;0;54;D
Rockingham County Schools;John W Dillard Elementary;NotMet;40.1;79.5;0;44;D
Greene County Schools;Greene Early College High;Exceeded;81.7;72.5;0;84;B
Gaston County Schools;W C Friday Middle School;NotMet;44.6;63.5;0;48;D
Person County Schools;Woodland Elementary;Exceeded;74.8;50.8;0;78;B
Graham County Schools;Robbinsville Middle;Exceeded;48.3;63.7;0;56;C
Guilford County Schools;Millis Road Elementary;Met;68.0;43.3;0;71;B
Graham County Schools;Robbinsville Elementary;Met;56.0;67.6;0;61;C
Granville County Schools;Wilton Elementary;Met;61.1;44.5;0;66;C
Pitt County Schools;Pactolus;Met;33.7;89.8;0;43;D
Guilford County Schools;Bessemer Elementary;Met;27.1;;0;37;F
Newton Conover City Schools;North Newton Elementary;NotMet;49.4;81.9;0;52;D
Durham Public Schools;Club Boulevard Elementary;Exceeded;44.0;60.4;0;53;D
Duplin County Schools;Rose Hill-Magnolia Elementary;Met;35.0;90.6;0;45;D
Durham Public Schools;City of Medicine Academy;Exceeded;72.1;56.0;0;82;B
Guilford County Schools;Allen Jay Elementary;Exceeded;45.7;87.3;0;55;C
Iredell-Statesville Schools;North Iredell High;NotMet;47.1;39.8;0;59;C
Davie County Schools;William Ellis Middle;Exceeded;71.1;30.0;0;75;B
Davie County Schools;William R Davie Elementary;Met;59.5;55.7;0;64;C
Davie County Schools;North Davie Middle;Exceeded;65.9;42.8;0;71;B
Duplin County Schools;Beulaville Elementary;Met;47.9;64.9;0;54;D
Durham Public Schools;Southern School of Energy and Sustainabi;NotMet;26.9;74.0;0;50;D
Edgecombe County Public School;W A Pattillo School;NotMet;20.3;92.7;0;30;F
Durham Public Schools;Lakewood Montessori Middle;NotMet;52.4;47.7;0;55;C
Durham Public Schools;W G Pearson Elementary;Exceeded;26.1;87.9;0;38;F
Durham Public Schools;James E Shepard Middle;NotMet;32.2;73.7;0;37;F
Onslow County Schools;Jacksonville Commons Elem;Met;49.6;54.3;0;55;C
Durham Public Schools;Hillside New Tech High;NotMet;35.8;56.2;0;53;D
Durham Public Schools;Middle College HS @ DTCC;N/A;0.0;15.3;0;92;A
Durham Public Schools;Lakewood Elementary;Met;33.2;94.2;0;43;D
Durham Public Schools;Y E Smith Elementary;Exceeded;28.5;;0;41;D
Dare County Schools;First Flight Elementary School;Exceeded;68.5;39.7;0;72;B
Wayne County Public Schools;Tommy's Road Elementary;Met;46.8;60.1;0;53;D
Davidson County Schools;Churchland Elementary;NotMet;59.0;65.7;0;60;C
Davidson County Schools;Hasty Elementary;Exceeded;63.2;58.0;0;68;C
Richmond County Schools;Richmond Senior High;NotMet;33.8;65.0;0;54;D
Dare County Schools;Manteo High School;Exceeded;66.3;38.3;0;79;B
Dare County Schools;Manteo Middle School;Met;58.6;54.0;0;61;C
Currituck County Schools;Moyock Middle;Met;60.7;30.6;0;65;C
Stanly County Schools;West Stanly High;Met;61.8;36.2;0;68;C
Cumberland County Schools;Walker Spivey Elementary;Met;40.5;;0;48;D
Cumberland County Schools;New Century International Elementary;Met;56.6;49.9;0;60;C
Cumberland County Schools;Teresa C Berrien Elementary;Met;38.1;93.7;0;47;D
Cumberland County Schools;Morganton Road Elementary;Met;46.0;71.3;0;53;D
Cumberland County Schools;Mary McArthur Elementary;Met;49.0;79.5;0;55;C
Rutherford County Schools;R-S Central High School;Met;46.0;55.8;0;66;C
Cumberland County Schools;Pine Forest High;Exceeded;51.9;53.3;0;67;C
Cumberland County Schools;Lewis Chapel Middle;Met;36.2;74.3;0;43;D
Cumberland County Schools;J W Coon Elementary;Met;46.2;83.3;0;54;D
Cumberland County Schools;Spring Lake Middle;Met;32.3;81.4;0;40;D
Cumberland County Schools;Stedman Elementary;Met;75.9;54.2;0;76;B
Forsyth County Schools;Atkins Academic & Tech High;Exceeded;72.3;42.5;0;81;B
Forsyth County Schools;Ibraham Elementary;Exceeded;40.5;93.2;0;50;D
Forsyth County Schools;Cash Elementary;Exceeded;74.8;35.5;0;78;B
Rowan-Salisbury Schools;China Grove Middle;Met;52.2;49.0;0;59;C
Elkin City Schools;Elkin High;Exceeded;77.2;36.4;0;84;B
Forsyth County Schools;Mineral Springs Elementary;Exceeded;49.9;;0;59;C
Forsyth County Schools;Kimberley Park Elementary;Exceeded;28.5;;0;40;D
Forsyth County Schools;Middle College of Forsyth Cnty;N/A;0.0;;0;92;A
Forsyth County Schools;Diggs-Latham Elementary;Met;39.0;;0;47;D
Forsyth County Schools;Easton Elementary School;Met;23.6;;0;34;F
Guilford County Schools;Kernodle Middle;Exceeded;76.7;25.3;0;81;B
Guilford County Schools;Lincoln Academy;NotMet;70.4;45.2;0;70;B
Guilford County Schools;Julius I Foust Elementary;Exceeded;32.8;;0;45;D
Davidson County Schools;Yadkin Valley Regional Career Academy;NotMet;54.0;54.1;0;56;C
Durham Public Schools;Southern School of Engineering;NotMet;36.6;64.4;0;53;D
Forsyth County Schools;Piney Grove Elementary;Exceeded;70.9;30.6;0;74;B
Gaston County Schools;Forest Heights Elementary;NotMet;32.7;88.5;0;40;D
Davidson County Schools;Northwest Elementary;Exceeded;68.4;36.3;0;72;B
Davie County Schools;Cornatzer Elementary;Exceeded;65.0;62.1;0;70;B
Davidson County Schools;Oak Grove Middle;Exceeded;68.9;34.0;0;74;B
Rowan-Salisbury Schools;North Rowan High;NotMet;24.4;68.3;0;49;D
Davidson County Schools;Welcome Elementary;Met;59.3;52.5;0;63;C
Davidson County Schools;Reeds Elementary;Met;65.3;53.0;0;69;C
Guilford County Schools;Allen Jay Middle Preparatory Academy;NotMet;44.3;67.0;0;47;D
Guilford County Schools;Clara J Peck Elementary;Exceeded;45.4;94.5;0;54;D
Guilford County Schools;The Academy at Smith;Exceeded;70.1;72.5;0;81;B
Guilford County Schools;Florence Elementary;Exceeded;68.5;38.0;0;72;B
Guilford County Schools;GTCC Middle College High;Met;63.6;45.8;0;78;B
Guilford County Schools;Irving Park Elementary;Met;47.6;70.1;0;55;C
Guilford County Schools;Guilford Elementary;Met;46.1;79.4;0;51;D
Onslow County Schools;Dixon Elementary;Met;65.0;37.2;0;66;C
Guilford County Schools;Early College at Guilford;NotMet;;10.9;0;93;A
Lenoir County Public Schools;La Grange Elementary;Exceeded;48.3;81.5;0;56;C
Johnston County Schools;West Smithfield Elementary;Exceeded;31.6;90.0;0;43;D
Mooresville City Schools;East Mooresville Intermediate;Met;70.1;40.2;0;73;B
Lenoir County Public Schools;E B Frink Middle;NotMet;48.1;65.4;0;50;D
Jones County Schools;Maysville Elementary;Exceeded;61.2;75.2;0;66;C
Lee County Schools;J Glenn Edwards Elementary;Met;55.4;82.7;0;60;C
Kannapolis City Schools;Shady Brook Elementary;Met;52.1;74.9;0;58;C
Lee County Schools;J R Ingram Jr Elementary;Met;57.1;65.0;0;61;C
Kannapolis City Schools;Kannapolis Middle;NotMet;41.9;72.8;0;45;D
Lee County Schools;Lee County High;NotMet;43.2;52.3;0;56;C
Hyde County Schools;Mattamuskeet Early College High;NotMet;29.7;78.1;0;45;D
Henderson County Schools;Clear Creek Elementary;Met;72.5;66.0;0;74;B
Hertford County Schools;Hertford County Middle;NotMet;31.1;76.7;0;36;F
Henderson County Schools;East Henderson High;NotMet;60.0;48.8;0;70;B
Hoke County Schools;Rockfish Hoke Elementary;Met;64.9;43.2;0;67;C
Rutherford County Schools;Chase Middle School;Met;51.3;69.4;0;56;C
Hyde County Schools;Mattamuskeet Elementary;Met;51.6;78.2;0;57;C
Haywood County Schools;Waynesville Middle;Met;61.5;55.6;0;66;C
Hoke County Schools;Upchurch Elementary;Met;51.4;77.7;0;57;C
Hoke County Schools;West Hoke Middle;Met;35.6;81.4;0;44;D
Johnston County Schools;McGee's Crossroads Middle;Exceeded;61.1;37.7;0;67;C
Union County Public Schools;Forest Hills High;Exceeded;44.8;65.6;0;64;C
Iredell-Statesville Schools;Lakeshore Elementary;Met;67.8;22.6;0;70;B
Jackson County Schools;Fairview Elementary;Exceeded;62.5;57.5;0;68;C
Johnston County Schools;Polenta Elementary;Exceeded;57.0;39.0;0;63;C
Iredell-Statesville Schools;Statesville Middle;Met;27.6;88.6;0;38;F
Stanly County Schools;Albemarle Middle;Exceeded;46.6;79.4;0;57;C
Wayne County Public Schools;Greenwood Middle;Met;49.1;69.0;0;56;C
Johnston County Schools;Riverwood Elementary;Met;73.3;20.0;0;73;B
